name,group,"Labour Union","Television","Armed Forces","Churches","Government in your nation’s capital","Police","Press","United Nations"
"World","World",34.8,47.8,61.6,63.6,45.3,56.8,42.1,42.3
"Argentina","South America",7,32.5,30.5,54.7,36.9,21.1,35.3,19.3
"Australia","Oceania",27.3,17.9,82.5,37.8,38.9,82.0,11.3,43.9
"Brazil","South America",44.9,41.4,69.1,77.2,45.9,44.5,43.0,46.0
"Bulgaria","Europe",19.3,66.3,68.1,58.1,33.2,53.4,48.3,51.9
"Canada","North America",29.0,31.9,69,57.4,36.7,80.8,33.0,54.4
"Chile","South America",33.1,46.7,57.5,69.1,45.9,56.4,44.2,37.9
"China","Asia",38.9,66.7,82,24.1,87.6,74.4,59.6,29.2
"Taiwan","Asia",25.2,13.1,41.7,30.5,32.3,37.2,16.3,28.9
"Colombia","South America",26.2,47.1,59.9,80.0,50.3,49.2,43.9,46.7
"Cyprus","Europe",40.2,37.3,67.8,65.8,54.5,64.8,34.6,40.6
"Ethiopia","Africa",23.0,25.0,38.7,58.7,23.9,29.9,23.6,35.7
"Finland","Europe",60.8,51.5,87.5,63.4,63.6,91.6,33.2,62.6
"France","Europe",38.0,34.4,67.4,45.8,28.9,70.9,38.4,54.3
"Georgia","Asia",17.6,32.2,64.4,86.9,30.5,44.1,29.6,43.6
"Germany","Europe",29.5,33.5,46.3,35.3,22.7,72.7,28.7,35.8
"Ghana","Africa",45.8,69.2,75.6,90.1,70.8,54.2,53.9,69.1
"Guatemala","Central America",21.9,48.2,36.6,85.0,36.1,25.1,44.9,44.0
"Hungary","Europe",24.0,32.6,37.7,45.8,16.4,46.8,21.1,53.7
"India","Asia",42.4,51.3,70.5,74.4,44.0,56.1,63.0,25.6
"Indonesia","Asia",40.9,60.1,72.5,92.4,53.8,49.8,49.8,46.6
"Iran","Asia",23.6,44.2,57.2,74.6,48.3,55.4,28.6,37.1
"Italy","Europe",32.9,17.1,67,73.8,25.8,76.9,24.7,55.5
"Japan","Asia",30.3,67.4,69.9,8.4,29.1,65.2,72.5,52.2
"Jordan","Asia",50.7,66.9,94,91.8,82.8,89.2,66.0,32.1
"South Korea","Asia",43.4,66.8,52,48.9,45.6,58.6,64.2,55.2
"Malaysia","Asia",64.0,71.9,84.5,90.9,75.4,74.6,63.7,49.3
"Mali","Africa",47.1,59.3,79,89.4,64.9,62.8,51.6,60.3
"Mexico","North America",30.0,46.3,62.5,70.0,43.9,33.1,49.1,51.0
"Moldova","Europe",24.1,50.4,36,69.6,32.4,24.2,40.1,44.8
"Morocco","Africa",34.5,54.6,66,90.3,52.5,59.5,44.3,16.1
"Netherlands","Europe",43.3,36.3,42.3,27.0,26.7,58.8,31.9,35.5
"New Zealand","Oceania",23.1,33.9,66.6,37.1,37.6,72.4,25.0,42.2
"Norway","Europe",64.8,48.7,64.9,50.1,53.7,86.9,36.0,84.0
"Peru","South America",12.7,18.5,21.9,51.7,11.5,15.7,18.3,27.0
"Poland","Europe",22.1,38.0,63.6,71.8,16.6,45.3,35.9,40.7
"Romania","Europe",23.9,52.5,80.2,87.6,25.4,38.6,40.3,54.7
"Russia","Asia",31.5,44.3,63.7,61.1,42.8,32.2,35.9,34.8
"Serbia","Europe",16.8,18.3,50.5,59.4,24.8,34.0,20.5,25.6
"Vietnam","Asia",84.1,93.6,95.7,49.9,95.7,88.9,87.4,67.9
"Slovenia","Europe",26.0,33.5,36,33.4,22.9,37.1,27.2,29.6
"South Africa","Africa",42.2,71.2,61.2,84.2,69.4,61.0,57.4,47.3
"Spain","Europe",27.9,33.9,51.4,32.0,44.2,62.8,40.5,56.4
"Sweden","Europe",50.3,54.3,45.7,54.9,42.0,77.5,32.8,77.2
"Switzerland","Europe",37.3,34.1,49.9,44.2,65.1,82.6,35.0,48.5
"Thailand","Asia",33.7,47.4,51.3,69.3,38.5,43.3,43.8,29.1
"Trinidad and Tobago","South America",26.5,23.4,39,49.6,26.3,27.9,20.3,39.7
"Turkey","Asia",38.6,32.7,85.1,70.4,61.7,70.7,30.5,28.3
"Ukraine","Europe",32.3,50.4,51.4,64.4,23.6,31.6,44.2,35.3
"United Kingdom","Europe",25.7,30.4,75.7,41.8,32.4,71.2,13.3,38.9
"United States","North America",28.4,24.5,79.8,64.1,36.8,68.1,23.1,32.5
"Burkina Faso","Africa",40.7,48.7,64.3,77.0,43.2,49.0,44.0,47.9
"Uruguay","South America",31.4,50.0,38.1,50.2,60.7,52.6,49.5,46.6
"Zambia","Africa",28.4,52.0,53.4,86.2,40.9,43.9,46.6,53.8
