name,group,"Labour Union","Television","Armed Forces","Churches","Government in your nation’s capital","Police","Press","United Nations"
"World","World",33.5,46.7,59.7,62.9,42.0,48.5,42.0,49.0
"Albania","Europe",11.9,23.4,56.7,53.0,37.9,71.8,16.3,78.6
"Azerbaijan","Asia",26.9,39.2,53.2,66.3,85.9,37.7,29.7,19.7
"Argentina","South America",9.3,26.7,22.3,49.4,26.0,22.2,32.6,33.9
"Australia","Oceania",24.3,25.5,66,42.0,25.8,75.2,16.6,47.8
"Bangladesh","Asia",37.0,60.5,51.9,97.1,77.2,36.1,64.2,63.3
"Armenia","Asia",17.5,44.5,70.8,64.9,41.2,31.4,33.1,64.9
"Brazil","South America",53.9,57.0,69.9,73.9,48.2,44.9,60.9,65.3
"Bulgaria","Europe",26.8,63.2,75.8,51.8,56.0,48.2,40.9,52.7
"Belarus","Europe",40.5,46.7,70.4,71.0,47.9,36.8,40.1,55.2
"Chile","South America",43.8,58.3,54.9,79.5,51.9,50.1,51.1,53.1
"Taiwan","Asia",54.7,49.4,74.1,60.6,67.5,58.0,39.1,41.6
"Colombia","South America",33.4,49.2,60.4,81.7,35.4,49.1,44.9,45.3
"Croatia","Europe",20.9,21.4,77.3,56.1,50.5,59.4,21.7,25.1
"Czech Rep.","Europe",37.4,49.1,42.2,31.7,29.8,43.4,42.6,56.5
"Dominican Rep.","North America",18.0,36.2,28.3,70.7,12.0,12.0,31.7,40.0
"El Salvador","Central America",17.0,48.6,45.1,62.5,40.3,48.9,45.8,48.6
"Estonia","Europe",39.7,66.7,45.6,56.9,48.7,50.0,54.1,61.0
"Finland","Europe",48.6,49.8,80.9,54.6,31.0,84.9,30.0,52.4
"Georgia","Asia",25.6,59.8,50.5,78.3,50.0,37.1,59.0,55.9
"Germany","Europe",34.9,21.5,43.6,27.2,20.0,60.8,17.3,37.6
"Hungary","Europe",23.7,39.7,56.5,42.5,42.4,55.0,30.4,60.0
"India","Asia",45.5,46.7,73.5,63.0,48.3,35.7,52.1,28.8
"Japan","Asia",39.7,68.1,59.5,12.5,30.0,76.3,71.6,46.5
"South Korea","Asia",55.0,61.0,70.4,41.9,43.8,47.2,64.6,81.0
"Latvia","Europe",32.1,56.9,29.9,60.6,37.4,30.3,49.0,55.4
"Lithuania","Europe",19.5,73.3,35.4,62.9,33.2,19.7,68.4,38.3
"Mexico","North America",36.3,49.9,59.1,75.8,41.5,33.1,51.0,50.6
"Moldova","Europe",34.4,44.9,56.1,76.3,42.7,33.2,34.3,68.2
"New Zealand","Oceania",19.8,35.6,57.1,36.9,15.2,78.3,32.1,47.8
"Nigeria","Africa",45.0,55.9,43.2,80.6,26.1,28.6,53.8,65.1
"Norway","Europe",64.0,48.8,72.6,53.2,65.7,85.3,32.4,72.2
"Peru","South America",14.3,33.2,40.5,69.5,37.0,21.1,28.4,44.6
"Philippines","Asia",53.8,69.8,68.3,94.0,57.4,54.9,71.1,73.6
"Poland","Europe",26.4,45.3,75.1,65.9,36.2,51.3,43.1,53.2
"Puerto Rico","North America",38.8,38.4,62.7,85.3,51.8,55.8,49.3,64.3
"Romania","Europe",27.9,47.3,79.9,77.9,20.1,37.8,34.1,41.2
"Russia","Asia",38.1,45.8,66.5,62.0,24.9,29.8,38.6,43.1
"Slovakia","Europe",31.9,49.8,65.7,57.3,41.5,39.0,41.4,50.3
"Slovenia","Europe",22.9,52.0,43.5,37.0,39.4,46.2,42.2,35.8
"South Africa","Africa",35.8,61.5,53,83.6,62.9,73.7,48.8,40.8
"Spain","Europe",30.2,38.6,42.1,48.5,30.1,60.5,41.7,44.2
"Sweden","Europe",42.0,48.1,53.3,48.2,41.4,80.2,28.5,63.0
"Switzerland","Europe",32.8,30.4,47.8,37.0,50.3,66.6,21.8,38.9
"Turkey","Asia",46.2,48.9,93,68.2,50.4,71.1,47.9,40.3
"Ukraine","Europe",34.2,45.3,62.5,60.6,40.5,35.3,40.9,43.6
"Macedonia","Europe",12.9,20.7,35.7,28.8,18.9,25.3,16.4,38.0
"United States","North America",30.1,28.7,85.2,75.1,29.7,69.0,26.8,46.9
"Uruguay","South America",38.7,56.9,38.1,55.8,41.6,53.2,60.8,55.9
"Venezuela","South America",26.2,52.5,59.5,74.1,26.4,29.7,58.1,35.9
"Serbia","Europe",21.9,24.4,59.9,36.0,32.9,43.2,21.4,20.2
"Montenegro","Europe",30.9,38.7,57.5,35.4,44.6,52.1,31.7,42.5
"Bosnia","Europe",56.7,57.9,89,64.8,67.4,83.2,50.4,70.0
